종목코드,종목명,종가,대비,등락률,상장시가총액
"011790","SKC","105900","-6900","-6.12","4010253.0"
"111770","영원무역","88100","3000","3.53","3903840.0"
"022100","포스코DX","24400","-1000","-3.94","3709647.0"
"002380","KCC","400500","-14500","-3.49","3559032.0"
"036460","한국가스공사","40250","-750","-1.83","3715598.0"
"035250","강원랜드","17720","90","0.51","3791026.0"
"082740","한화엔진","41700","-1400","-3.25","3479746.0"
"097950","CJ제일제당","218000","-2000","-0.91","3281813.0"
"011170","롯데케미칼","78000","-2000","-2.50","3336483.0"
"052690","한전기술","88900","-2600","-2.84","3397758.0"
"031210","서울보증보험","49350","-750","-1.50","3445696.0"
"017800","현대엘리베이터","79100","-600","-0.75","3092208.0"
"011780","금호석유화학","115500","-2700","-2.28","3006666.0"
"004990","롯데지주","30300","-1200","-3.81","3178750.0"
"383220","F&F","76200","-1500","-1.93","2918999.0"
"071970","HD현대마린엔진","77500","-3700","-4.56","2628916.0"
"103140","풍산","94500","-5100","-5.12","2648294.0"
"026960","동서","27950","50","0.18","2786615.0"
"000990","DB하이텍","61900","-4500","-6.78","2692934.0"
"004370","농심","464500","-7500","-1.59","2825387.0"
"012510","더존비즈온","93800","-900","-0.95","2849905.0"
"012750","에스원","74500","1100","1.50","2830939.0"
"042670","HD현대인프라코어","13980","-150","-1.06","2640140.0"
"353200","대덕전자","47350","-4050","-7.88","2339891.0"
"002790","아모레퍼시픽홀딩스","30450","-500","-1.62","2419502.0"
"439260","대한조선","65100","-2500","-3.70","2508063.0"
"081660","미스토홀딩스","41650","150","0.36","2502992.0"
"088350","한화생명","2980","-50","-1.65","2588219.0"
"103590","일진전기","53800","-3300","-5.78","2565474.0"
"018670","SK가스","258000","-10000","-3.73","2385273.0"
"018880","한온시스템","3535","-30","-0.84","2399426.0"
"030000","제일기획","22200","100","0.45","2553915.0"
"051600","한전KPS","52200","-600","-1.14","2349000.0"
"008930","한미사이언스","37850","-850","-2.20","2588620.0"
"009970","영원무역홀딩스","172600","500","0.29","2329968.0"
"014680","한솔케미칼","207000","-17500","-7.80","2346385.0"
"000240","한국앤컴퍼니","26750","500","1.90","2539518.0"
"001450","현대해상","27700","-250","-0.89","2476380.0"
"001720","신영증권","141100","-5900","-4.01","2319684.0"
